what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1466252721402
started,bundle,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views",1466252721403
started,bundle,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"org.eclipse.ui.workbench",1466252721404
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1466252721405
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1466252721406
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1466252721407
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1466252721408
os,sysinfo,,,"win32",1466252721411
arch,sysinfo,,,"x86_64",1466252721411
ws,sysinfo,,,"win32",1466252721411
locale,sysinfo,,,"en_US",1466252721411
processors,sysinfo,,,"8",1466252721411
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1466252721411
java.runtime.version,sysinfo,,,"1.8.0_45-b15",1466252721411
java.specification.name,sysinfo,,,"Java Platform API Specification",1466252721411
java.specification.vendor,sysinfo,,,"Oracle Corporation",1466252721411
java.specification.version,sysinfo,,,"1.8",1466252721411
java.vendor,sysinfo,,,"Oracle Corporation",1466252721411
java.version,sysinfo,,,"1.8.0_45",1466252721411
java.vm.info,sysinfo,,,"mixed mode",1466252721411
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1466252721411
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1466252721411
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1466252721411
java.vm.specification.version,sysinfo,,,"1.8",1466252721411
java.vm.vendor,sysinfo,,,"Oracle Corporation",1466252721411
java.vm.version,sysinfo,,,"25.45-b02",1466252721411
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1466252735453
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1466252737124
